id,description,complete
1,Move with Lil to the black mountain hills of Dakota,false
2,Lose Lil to Danny,false
3,Get hit in the eye by Danny,false
4,Walk into town seeking revenge,false
5,Book room at local saloon,false
6,Check into room and read Gideon's bible,false
7,Drink too much gin,false
8,Overhear Lil and Danny in neighboring room,false
9,Burst into neighboring room and declare a showdown,false
10,Get shot by Danny and collapse in corner,false
11,Visit doctor,false
12,Return to room and read Gideon's bible,false
13,Sing along! D'do d'do d'do do do d'do d'do d'do,false
